res_hall,remaining,total,num_picks
Drop to 248,1,1,15
Grad Center A,16,16,15
Barbour Hall,13,14,15
111 Brown Street,6,6,15
Minden,42,55,15
Olney House,5,7,15
Littlefield Hall,24,24,15
Pass,75,77,15
Emery,0,19,15
Drop to 215,0,1,15
Drop to 139,0,1,15
Drop to 554,1,1,15
Grad Center d,2,2,15
New Pembroke #1,17,17,15
Drop to 398,1,1,15
Drop to 692,1,1,15
Gregorian Quad B,25,53,15
Drop to 377,0,1,15
Drop to 145,0,1,15
Drop to 441,2,2,15
Barbour Hall Apartments,23,27,15
Drop to 415,3,3,15
Grad Center C,17,17,15
Drop to 394,1,1,15
Drop to 261,1,1,15
315 Thayer,1,19,15
Sears House,12,16,15
Diman House,12,12,15
Drop to 564,1,1,15
Marcy House,14,14,15
Machado,3,12,15
Drop to 587,1,1,15
Drop to 474,1,1,15
Drop to 304,1,1,15
Drop to 617,1,1,15
Caswell Hall,44,44,16
Drop to 414,1,1,16
Harkness House,9,9,16
Hegeman,16,24,16
Drop to 29,0,1,16
Goddard House,11,30,16
Morriss Hall,4,4,16
Young Orchard #4,4,13,16
Young Orchard #2,2,12,16
Hope College,39,39,16
Grad center D,1,1,16
New Pembroke #3,0,9,16
Drop to 488,1,1,16
Grad Center D,72,102,16
No Show,45,62,16
Woolley,0,27,16
Champlin,0,5,16
New Pembroke #4,0,21,16
Drop to 179,0,3,16
Drop to 365,1,1,16
Plantations House,4,9,16
Grad Center B,17,17,16
Drop to 151,0,1,16
Drop to 402,1,1,16
Slater Hall,14,21,16
Drop to 284,1,1,16
Drop to 413,1,1,16
Drop to 421,1,1,16
Chapin House,13,15,16
Gregorian Quad A,52,76,16
Young Orchard #10,10,10,16
Drop to 248,1,1,16
Grad Center A,16,16,16
Barbour Hall,13,14,16
111 Brown Street,6,6,16
Minden,40,55,16
Olney House,5,7,16
Littlefield Hall,24,24,16
Pass,75,77,16
Emery,0,19,16
Drop to 215,0,1,16
Drop to 139,0,1,16
Drop to 554,1,1,16
Grad Center d,2,2,16
New Pembroke #1,17,17,16
Drop to 398,1,1,16
Drop to 692,1,1,16
Gregorian Quad B,24,53,16
Drop to 377,0,1,16
Drop to 145,0,1,16
Drop to 441,2,2,16
Barbour Hall Apartments,23,27,16
Drop to 415,3,3,16
Grad Center C,17,17,16
Drop to 394,1,1,16
Drop to 261,0,1,16
315 Thayer,1,19,16
Sears House,12,16,16
Diman House,12,12,16
Drop to 564,1,1,16
Marcy House,14,14,16
Machado,3,12,16
Drop to 587,1,1,16
Drop to 474,1,1,16
Drop to 304,1,1,16
Drop to 617,1,1,16
Caswell Hall,44,44,17
Drop to 414,1,1,17
Harkness House,9,9,17
Hegeman,16,24,17
Drop to 29,0,1,17
Goddard House,11,30,17
Morriss Hall,4,4,17
Young Orchard #4,4,13,17
Young Orchard #2,2,12,17
Hope College,39,39,17
Grad center D,1,1,17
New Pembroke #3,0,9,17
Drop to 488,1,1,17
Grad Center D,68,102,17
No Show,43,62,17
Woolley,0,27,17
Champlin,0,5,17
New Pembroke #4,0,21,17
Drop to 179,0,3,17
