res_hall,remaining,total,num_picks
Barbour Hall,16,16,12
111 Brown Street,6,6,12
Grad center A,64,83,12
Olney House,16,16,12
Young Orchard #10,8,12,12
Fake Building,16,19,12
Littlefield Hall,16,16,12
Machado House,11,11,12
Pass,48,49,12
Drop to 370,1,1,12
Drop to 720,1,1,12
Drop to 312,1,1,12
Drop to 493,1,1,12
Drop to 491,1,1,12
Drop to 217,1,1,12
New Pembroke #1,5,14,12
Wayland House,19,19,12
Drop to 162,0,1,12
Drop to 741,1,1,12
Drop to 459,2,2,12
Drop to 164,0,1,12
Drop to 515,1,1,12
Drop to 257,1,1,12
Barbour Hall Apartments,29,29,12
Minden,37,57,12
Grad Center C,15,15,12
Drop to 483,1,1,12
Plantations House,9,9,12
315 Thayer,0,13,12
Sears House,14,14,12
Diman House,13,13,12
Drop to 533,1,1,12
Drop to 454,1,1,12
Marcy House,18,18,12
Drop to 473,1,1,12
Hope College,38,38,12
Caswell Hall,46,46,13
Harkness House,14,14,13
Drop to 22,0,1,13
Hegeman,19,31,13
Drop to 316,1,1,13
Perkins Hall,67,67,13
Goddard House,22,22,13
Young Orchard #4,3,12,13
Young Orchard #2,2,11,13
Drop to 329,1,1,13
New Pembroke #3,36,36,13
New Pembroke #2,3,16,13
Grad Center D,63,108,13
No Show,84,95,13
Grad Center B,18,18,13
Drop to 134,0,1,13
New Pembroke #4,49,49,13
Drop to 97,0,1,13
Drop to 178,0,1,13
Drop to 295,1,1,13
Drop to 508,1,1,13
Drop to 509,1,1,13
Drop to 157,0,1,13
Drop to 121,0,1,13
Slater Hall,16,21,13
Drop to 702,1,1,13
Drop to 421,1,1,13
Chapin House,6,6,13
Gregorian Quad A,48,76,13
Drop to 462,1,1,13
Gregorian Quad B,22,53,13
Barbour Hall,16,16,13
111 Brown Street,6,6,13
Grad center A,63,83,13
Olney House,16,16,13
Young Orchard #10,7,12,13
Fake Building,16,19,13
Littlefield Hall,16,16,13
Machado House,11,11,13
Pass,47,49,13
Drop to 370,1,1,13
Drop to 720,1,1,13
Drop to 312,1,1,13
Drop to 493,1,1,13
Drop to 491,1,1,13
Drop to 217,1,1,13
New Pembroke #1,5,14,13
Wayland House,19,19,13
Drop to 162,0,1,13
Drop to 741,1,1,13
Drop to 459,2,2,13
Drop to 164,0,1,13
Drop to 515,1,1,13
Drop to 257,1,1,13
Barbour Hall Apartments,29,29,13
Minden,37,57,13
Grad Center C,15,15,13
Drop to 483,1,1,13
Plantations House,9,9,13
315 Thayer,0,13,13
